X, Y
1270.35,1026.08
697.87,375.40
1226.37,1147.14
1190.16,1006.19
1123.62,957.73
962.50,451.77
854.80,325.49
861.69,451.96
923.96,353.30
845.49,427.69
1202.76,926.14
1227.72,1284.90
668.98,210.04
1367.71,1109.36
822.87,554.13
791.97,275.63
872.24,262.33
1041.58,835.27
889.12,368.76
1138.12,692.45
1142.13,526.59
903.06,348.93
795.87,237.90
852.09,307.14
803.55,326.45
1131.44,1167.59
1117.30,776.50
1238.94,1149.46
1067.76,980.64
1121.09,1116.64
915.01,519.32
990.05,746.09
1232.06,1010.44
984.62,479.16
1152.95,1242.78
637.41,294.85
874.17,517.72
826.95,281.75
953.62,355.09
1003.57,341.40
1257.48,952.06
789.56,337.22
786.73,287.60
1058.21,540.46
796.83,471.45
827.85,363.92
1207.13,1080.10
1300.95,1269.78
765.53,296.94
824.34,321.04
895.86,272.86
920.82,321.46
1391.35,1085.74
1256.38,1199.40
1139.22,987.24
1192.05,875.75
1087.95,703.22
1334.40,1116.85
979.51,474.68
877.97,386.58
831.54,363.45
942.77,414.75
1110.29,727.78
1050.26,571.74
707.00,354.52
1310.71,1111.88
1129.46,775.47
846.36,392.54
626.56,349.40
1245.46,1156.34
1085.54,659.27
1230.84,929.10
751.76,235.54
762.42,357.48
1182.38,792.94
912.79,487.95
740.72,215.36
939.60,404.55
963.03,537.43
898.87,789.77
1030.34,458.35
1189.49,994.83
859.53,469.68
849.05,532.71
989.71,490.41
1014.67,887.85
1077.02,927.33
1138.89,1136.27
851.86,450.81
937.91,572.57
1109.63,973.58
1041.84,582.86
859.82,413.34
1014.37,489.10
1003.30,579.28
826.53,348.06
1004.55,734.00
981.84,447.63
1170.18,762.64
1095.15,565.33
832.46,379.66
1123.80,847.10
941.94,384.74
1068.50,552.92
721.61,228.35
928.82,570.42
1069.96,545.24
1124.05,718.14
904.04,368.47
714.86,294.12
991.18,635.44
835.36,403.55
913.31,662.86
977.72,382.62
785.87,391.83
966.36,394.71
1177.99,1127.00
1178.57,792.92
1016.44,326.84
1176.96,968.94
902.15,556.60
1363.05,1286.16
775.15,311.83
996.79,434.78
741.09,246.26
886.35,484.44
1145.05,1122.52
1195.66,457.85
1046.79,446.95
876.50,355.03
1098.93,769.04
808.64,323.32
1080.15,784.38
832.15,226.31
723.48,283.78
1148.67,707.55
790.58,348.02
766.25,293.02
1094.27,824.35
1372.08,1011.35
1377.78,1385.14
948.21,415.01
823.32,311.51
1171.82,787.12
1110.45,842.30
1194.05,973.90
950.10,367.42
1350.96,1276.00
825.12,419.86
710.98,196.66
1015.66,479.45
862.89,587.43
803.13,379.66
1303.26,1116.56
1088.16,556.41
1008.08,1025.75
1090.40,565.31
807.58,505.35
1042.62,866.21
984.96,803.63
738.83,305.91
1071.49,995.21
1114.28,735.09
853.33,371.79
910.01,462.83
1118.03,957.99
1191.16,1119.71
1071.80,526.64
1054.52,756.53
844.39,576.52
889.12,277.31
1104.22,683.26
771.26,394.64
967.48,454.84
1073.37,611.61
1181.76,1089.18
1286.53,1285.93
793.22,353.95
768.26,547.17
1114.06,1201.28
1332.62,1233.80
1122.41,941.02
956.09,370.48
1117.07,612.16
848.77,609.17
1359.52,1052.57
1106.51,938.03
1130.10,570.70
913.32,569.91
1230.53,1199.79
980.17,500.93
1177.99,940.25
1067.89,687.07
907.88,429.55
1208.42,1218.54
989.56,518.98
1138.05,1213.15
706.26,273.01
867.70,443.01
1012.49,836.94
786.96,246.47
1236.35,564.90
1289.53,1128.11
697.32,403.34
1119.47,803.50
1078.57,1072.41
1034.47,1002.38
888.50,478.94
941.67,607.62
899.17,510.19
1039.61,404.89
846.04,427.96
696.66,281.61
899.60,461.21
806.08,458.41
895.34,568.43
964.87,345.94
1045.95,852.09
953.92,573.89
1039.24,595.71
1284.35,1179.08
875.61,435.91
794.85,281.32
965.90,543.97
1132.26,683.99
1105.14,606.27
755.90,353.49
862.42,381.74
1047.67,580.93
